wiki_bot - 25-08-24 | 15:56:52 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Turkmenistan
wiki_bot - 25-08-24 | 15:56:53 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:53 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:53 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:53 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Cameroon
wiki_bot - 25-08-24 | 15:56:54 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:54 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:54 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:54 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Papua_New_Guinea
wiki_bot - 25-08-24 | 15:56:55 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:55 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:55 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:55 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Sweden
wiki_bot - 25-08-24 | 15:56:56 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:56 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:56 - INFO - Country fetched succesfully!
wiki_bot - 25-08-24 | 15:56:56 - INFO - Connection was established succesfully to the url: https://en.wikipedia.org//wiki/Uzbekistan
wiki_bot - 25-08-24 | 15:56:57 - INFO - Normalizing the information...
wiki_bot - 25-08-24 | 15:56:57 - INFO - Fetching the country in the database...
wiki_bot - 25-08-24 | 15:56:57 - INFO - Country fetched succesfully!
